66000 Discriminator_loss: 0.588158 acc.: 62.50% Generator_loss: 0.853839
66500 Discriminator_loss: 0.595691 acc.: 62.50% Generator_loss: 0.889818
67000 Discriminator_loss: 0.647057 acc.: 56.25% Generator_loss: 0.852361
67500 Discriminator_loss: 0.534752 acc.: 68.75% Generator_loss: 0.832836
68000 Discriminator_loss: 0.635357 acc.: 56.25% Generator_loss: 0.829830
68500 Discriminator_loss: 0.526426 acc.: 71.88% Generator_loss: 0.889968
69000 Discriminator_loss: 0.571679 acc.: 65.62% Generator_loss: 0.863123
69500 Discriminator_loss: 0.547971 acc.: 65.62% Generator_loss: 0.883858
70000 Discriminator_loss: 0.459180 acc.: 75.00% Generator_loss: 0.857249
70500 Discriminator_loss: 0.656711 acc.: 56.25% Generator_loss: 0.811402
71000 Discriminator_loss: 0.635972 acc.: 56.25% Generator_loss: 0.825400
71500 Discriminator_loss: 0.614875 acc.: 62.50% Generator_loss: 0.841792
72000 Discriminator_loss: 0.546095 acc.: 68.75% Generator_loss: 0.851060
72500 Discriminator_loss: 0.575514 acc.: 62.50% Generator_loss: 0.862351
73000 Discriminator_loss: 0.594831 acc.: 62.50% Generator_loss: 0.844985
73500 Discriminator_loss: 0.615764 acc.: 56.25% Generator_loss: 0.816752
74000 Discriminator_loss: 0.552375 acc.: 68.75% Generator_loss: 0.836746
74500 Discriminator_loss: 0.680707 acc.: 50.00% Generator_loss: 0.891824
75000 Discriminator_loss: 0.571884 acc.: 68.75% Generator_loss: 0.850474
75500 Discriminator_loss: 0.664870 acc.: 56.25% Generator_loss: 0.857689
76000 Discriminator_loss: 0.578233 acc.: 68.75% Generator_loss: 0.863504
76500 Discriminator_loss: 0.612114 acc.: 65.62% Generator_loss: 0.843053
77000 Discriminator_loss: 0.650700 acc.: 59.38% Generator_loss: 0.884348
77500 Discriminator_loss: 0.644341 acc.: 59.38% Generator_loss: 0.787413
78000 Discriminator_loss: 0.586540 acc.: 65.62% Generator_loss: 0.825073
78500 Discriminator_loss: 0.617716 acc.: 62.50% Generator_loss: 0.862114
79000 Discriminator_loss: 0.654976 acc.: 53.12% Generator_loss: 0.856991
79500 Discriminator_loss: 0.610194 acc.: 65.62% Generator_loss: 0.857207
80000 Discriminator_loss: 0.528546 acc.: 71.88% Generator_loss: 0.867795
80500 Discriminator_loss: 0.610644 acc.: 59.38% Generator_loss: 0.893206
81000 Discriminator_loss: 0.575002 acc.: 65.62% Generator_loss: 0.877669
81500 Discriminator_loss: 0.579874 acc.: 65.62% Generator_loss: 0.822349
82000 Discriminator_loss: 0.590621 acc.: 62.50% Generator_loss: 0.864971
82500 Discriminator_loss: 0.507705 acc.: 75.00% Generator_loss: 0.843457
83000 Discriminator_loss: 0.567416 acc.: 65.62% Generator_loss: 0.852091
83500 Discriminator_loss: 0.572978 acc.: 68.75% Generator_loss: 0.826036
84000 Discriminator_loss: 0.530475 acc.: 68.75% Generator_loss: 0.882999
84500 Discriminator_loss: 0.624799 acc.: 59.38% Generator_loss: 0.878221
85000 Discriminator_loss: 0.636594 acc.: 56.25% Generator_loss: 0.881605
85500 Discriminator_loss: 0.594261 acc.: 62.50% Generator_loss: 0.902727
86000 Discriminator_loss: 0.547990 acc.: 68.75% Generator_loss: 0.864745
86500 Discriminator_loss: 0.654954 acc.: 56.25% Generator_loss: 0.906498
87000 Discriminator_loss: 0.620142 acc.: 59.38% Generator_loss: 0.883876
87500 Discriminator_loss: 0.533387 acc.: 71.88% Generator_loss: 0.827577
88000 Discriminator_loss: 0.541842 acc.: 68.75% Generator_loss: 0.881817
88500 Discriminator_loss: 0.661731 acc.: 56.25% Generator_loss: 0.896100
89000 Discriminator_loss: 0.502706 acc.: 71.88% Generator_loss: 0.894135
89500 Discriminator_loss: 0.631200 acc.: 56.25% Generator_loss: 0.788437
90000 Discriminator_loss: 0.619770 acc.: 59.38% Generator_loss: 0.870993
90500 Discriminator_loss: 0.640360 acc.: 56.25% Generator_loss: 0.874124
91000 Discriminator_loss: 0.612587 acc.: 59.38% Generator_loss: 0.822284
91500 Discriminator_loss: 0.536544 acc.: 68.75% Generator_loss: 0.858193
92000 Discriminator_loss: 0.516556 acc.: 71.88% Generator_loss: 0.862013
92500 Discriminator_loss: 0.519168 acc.: 71.88% Generator_loss: 0.847275
93000 Discriminator_loss: 0.711650 acc.: 43.75% Generator_loss: 0.861401
93500 Discriminator_loss: 0.620340 acc.: 59.38% Generator_loss: 0.874504
94000 Discriminator_loss: 0.583088 acc.: 59.38% Generator_loss: 0.889920
94500 Discriminator_loss: 0.519071 acc.: 71.88% Generator_loss: 0.883235
95000 Discriminator_loss: 0.570679 acc.: 68.75% Generator_loss: 0.864315
95500 Discriminator_loss: 0.452277 acc.: 78.12% Generator_loss: 0.904078
96000 Discriminator_loss: 0.570972 acc.: 62.50% Generator_loss: 0.891209
96500 Discriminator_loss: 0.602438 acc.: 62.50% Generator_loss: 0.860246
97000 Discriminator_loss: 0.482487 acc.: 75.00% Generator_loss: 0.829262
97500 Discriminator_loss: 0.633360 acc.: 56.25% Generator_loss: 0.819588
98000 Discriminator_loss: 0.613124 acc.: 59.38% Generator_loss: 0.844060
98500 Discriminator_loss: 0.580895 acc.: 65.62% Generator_loss: 0.880375
99000 Discriminator_loss: 0.653512 acc.: 56.25% Generator_loss: 0.911617
99500 Discriminator_loss: 0.650131 acc.: 56.25% Generator_loss: 0.859875
100000 Discriminator_loss: 0.638849 acc.: 59.38% Generator_loss: 0.845896
100500 Discriminator_loss: 0.682430 acc.: 46.88% Generator_loss: 0.846323
101000 Discriminator_loss: 0.642628 acc.: 56.25% Generator_loss: 0.859070
101500 Discriminator_loss: 0.574396 acc.: 65.62% Generator_loss: 0.809021
102000 Discriminator_loss: 0.553616 acc.: 65.62% Generator_loss: 0.862740
