itr,acc,d_loss,g_loss,w_distance,fid
10657,59.375,0.6323481798171997,0.7922612428665161,0.1599130630493164,0.0006528874375529666
10658,68.75,0.5475201606750488,0.7946045398712158,0.247084379196167,0.0019504468431182887
10659,62.5,0.604347825050354,0.7870713472366333,0.1827235221862793,0.0016923817462959948
10660,56.25,0.6275136470794678,0.8025479912757874,0.17503434419631958,0.0011469765131653232
10661,65.625,0.593579888343811,0.7946817278862,0.2011018395423889,0.0005526193546705684
10662,56.25,0.6540366411209106,0.7962325811386108,0.1421959400177002,0.0009572122810123713
10663,71.875,0.5321526527404785,0.8058867454528809,0.27373409271240234,0.000504222477373223
10664,78.125,0.5302824974060059,0.8621353507041931,0.3318528532981873,0.0009257327465696297
10665,65.625,0.636893093585968,0.8096460103988647,0.17275291681289673,0.0006220385234723358
10666,62.5,0.6017426252365112,0.7944709062576294,0.19272828102111814,0.0007879363410188519
10667,68.75,0.596075713634491,0.7727228403091431,0.1766471266746521,0.0006535016011473893
10668,65.625,0.6180660128593445,0.8083059787750244,0.19023996591568,0.0009334322475316707
10669,62.5,0.6057500839233398,0.7951819896697998,0.18943190574646,0.0005067380760998356
10670,56.25,0.6742152571678162,0.8087334632873535,0.13451820611953735,0.0006778654781292492
10671,56.25,0.6132051944732666,0.7786785364151001,0.1654733419418335,0.0006316885780790486
10672,53.125,0.6845011711120605,0.8031116724014282,0.11861050128936768,0.0007448790141749672
10673,56.25,0.664476752281189,0.8001861572265625,0.13570940494537356,0.0013725805218122381
10674,71.875,0.5377174615859985,0.8333719968795776,0.2956545352935791,0.0006809415856950215
10675,68.75,0.5910065174102783,0.8380648493766785,0.2470583319664001,0.0006759470589734601
10676,62.5,0.5974432229995728,0.8128172159194946,0.21537399291992188,0.001277060036054857
10677,56.25,0.6305148601531982,0.7986975908279419,0.16818273067474365,0.0015491493417438727
10678,65.625,0.5922671556472778,0.8466489315032959,0.2543817758560181,0.0006007969978696308
10679,56.25,0.6390913128852844,0.7882261276245117,0.1491348147392273,0.0005677557275602066
10680,65.625,0.5503518581390381,0.8328068256378174,0.2824549674987793,0.0010648729996564177
10681,59.375,0.6174529194831848,0.8419645428657532,0.2245116233825684,0.0006949076720658579
10682,68.75,0.5558408498764038,0.8242245316505432,0.2683836817741394,0.0006709283281634193
10683,53.125,0.6453738212585449,0.8131638765335083,0.16779005527496338,0.0004696218155932453
10684,65.625,0.5736079216003418,0.8530175685882568,0.27940964698791504,0.0006226977377822088
10685,71.875,0.5567812323570251,0.8559788465499878,0.29919761419296265,0.0006981084497096686
10686,65.625,0.6277456283569336,0.8381972312927246,0.21045160293579104,0.0007970022705397427
10687,53.125,0.6690021753311157,0.8388361930847168,0.16983401775360107,0.0010632838807758881
10688,59.375,0.64192134141922,0.8193884491920471,0.17746710777282715,0.001188624397189557
10689,71.875,0.5513778924942017,0.832919716835022,0.2815418243408203,0.0005485997795362916
10690,71.875,0.5219119787216187,0.8238610029220581,0.30194902420043945,0.0007864355847159201
10691,62.5,0.5997328758239746,0.8493162989616394,0.2495834231376648,0.0007143177921247633
10692,59.375,0.6172624230384827,0.8252551555633545,0.20799273252487185,0.0009086356050885586
10693,56.25,0.6554524898529053,0.8295534253120422,0.17410093545913696,0.000819563106228232
10694,62.5,0.6204121112823486,0.8185104131698608,0.1980983018875122,0.0006352175223848834
10695,62.5,0.5986446738243103,0.8317810297012329,0.2331363558769226,0.0012882293756581904
10696,65.625,0.5808582901954651,0.8196871280670166,0.2388288378715515,0.0013851703857803662
10697,50.0,0.683154284954071,0.8202441334724426,0.13708984851837158,0.0013778448765332945
10698,68.75,0.5534176826477051,0.7900121212005615,0.23659443855285645,0.0012397940468845512
10699,62.5,0.6393560171127319,0.8143147230148315,0.1749587059020996,0.0012791038412448062
10700,65.625,0.6201458573341371,0.8114127516746521,0.19126689434051514,0.0009182615686782867
10701,65.625,0.6315012574195862,0.8094122409820557,0.17791098356246948,0.001314733429981041
10702,68.75,0.5646522045135498,0.8079521059989929,0.2432999014854431,0.00109262540500161
10703,56.25,0.6741929054260254,0.8019556403160095,0.12776273488998413,0.0010631313907703607
10704,56.25,0.6702909469604492,0.7946861982345581,0.12439525127410887,0.0017490087005413578
10705,68.75,0.5804876685142517,0.7947227954864502,0.2142351269721985,0.0012124959996009535
10706,71.875,0.5271895527839661,0.8106331825256348,0.2834436297416687,0.0009391944569607364
10707,59.375,0.6297760009765625,0.8026847839355469,0.17290878295898438,0.000871588338240083
10708,50.0,0.6756908893585205,0.7884452342987059,0.11275434494018555,0.0010108095342304096
10709,56.25,0.6723978519439697,0.7892501354217529,0.1168522834777832,0.0017457691983746482
10710,65.625,0.586326003074646,0.7880417108535767,0.20171570777893064,0.000863139977250386
10711,62.5,0.6034218668937683,0.7934615612030029,0.19003969430923465,0.0008064177953640504
10712,56.25,0.6345999240875244,0.7955564260482788,0.1609565019607544,0.0008025255206630876
10713,68.75,0.5473008155822754,0.8083308935165405,0.26103007793426514,0.0008055533125404992
10714,65.625,0.5956324934959412,0.8032978773117065,0.20766538381576533,0.0005411830505463926
